name,brief
"de silva, vin",V. De Silva
"aguilar, konrad",K. Aguilar
"chandler, gabriel",G. Chandler
"chavez, angel",A. Chavez
"garcia, stephan ramon",S.R. Garcia
"goins, edray",E. Goins
"hardin, johanna s.",J.S. Hardin
"hohn, maryann",M. Hohn
"karaali, gizem",G. Karaali
"radunskaya, ami e.",A.E. Radunskaya
"rumbos, adolfo j.",A.J. Rumbos
"sarkis, ghassan y.",G.Y. Sarkis
"shahriari, shahriar",S. Shahriari
"shtylla, blerta",B. Shtylla
"tamagawa, sherilyn",S. Tamagawa
"aksoy, asuman g.",A.G. Aksoy
"cannon, sarah",S. Cannon
"fukshansky, lenny",L. Fukshansky
"huber, mark",M. Huber
"kao, chiu-yen",C. Kao
"mistry, bhaven",B. Mistry
"nelson, sam",S. Nelson
"o'neill, mike",M. O'Neill
"park, jeho",J. Park
"valenza, robert j.",R.J. Valenza
"wong, helen",H. Wong
"ou, winston",W. Ou
"towse, christopher",C. Towse
"edholm, christina",C. Edholm
"bachman, david",D. Bachman
"hoste, jim",J. Hoste
"benjamin, arthur t.",A.T. Benjamin
"bernoff, andrew j.",A.J. Bernoff
"castro, alfonso",A. Castro
"de pillis, lisette g.",L.G. De Pillis
"gu, weiqing",W. Gu
"haddock, jamie",J. Haddock
"jacobsen, jon",J. Jacobsen
"karp, dagan",D. Karp
"lindo, haydee",H. Lindo
"martonosi, susan",S. Martonosi
"omar, mohamed",M. Omar
"orrison, michael",M. Orrison
"su, francis edward",F.E. Su
"weinburd, jasper",J. Weinburd
"yong, darryl",D. Yong
"zinn-brooks, heather",H. Zinn-Brooks